celltype,genes,res,gene_symbol
AST,1780,0.7149399573975094,ADSS
AST,1781,0.716489910758483,DESI2
AST,1782,0.7497824360119332,COX20
AST,1783,0.9296369437959683,HNRNPU
AST,1784,0.9164131007871189,EFCAB2
AST,1786,0.9458792373652596,SMYD3
AST,1788,0.747736013680472,CNST
AST,1791,0.8850044716564579,AHCTF1
AST,1795,0.7111341058558497,ZNF496
AST,1828,0.8563715438556845,SH3YL1
AST,1829,0.7065904382593802,ACP1
AST,1849,0.8787821709226181,TRAPPC12
AST,1851,0.7408563016753018,ADI1
AST,1868,0.8554092169302535,RNF144A
AST,1871,0.8618711908612665,LINC00298
AST,1873,0.9725358232658458,LINC00299
AST,1875,0.7974990381764732,ID2
AST,1876,0.9154473063743487,KIDINS220
AST,1877,0.9288634997771018,MBOAT2
AST,1878,0.9494069022122913,ASAP2
AST,1879,0.802709438647371,ITGB1BP1
AST,1882,0.8011096978570358,ADAM17
AST,1883,0.7740687335428836,YWHAQ
AST,1884,0.7802349311076412,TAF1B
AST,1889,0.8004793337513751,HPCAL1
AST,1891,0.8493519702408164,NOL10
AST,1895,0.7102061178079567,PDIA6
AST,1899,0.8814753809385714,ROCK2
AST,1903,0.8355796746754944,GREB1
AST,1904,0.7279156383313136,NTSR2
AST,1905,0.9506852632034539,LPIN1
AST,1907,0.7538602778305679,TRIB2
AST,1910,0.9118536137725615,NBAS
AST,1912,0.7410239284887854,DDX1
AST,1917,0.8939299596195726,FAM49A
AST,1920,0.7668692351695693,SMC6
AST,1925,0.9175438419696839,LINC01376
AST,1930,0.7777760817942536,WDR35
AST,1935,0.9087486803308137,PUM2
AST,1936,0.832144883723769,RHOB
AST,1939,0.8381534411120664,LDAH
AST,1947,0.8985010682675766,ATAD2B
AST,1948,0.8865837317798284,UBXN2A
AST,1953,0.8759870290077428,FAM228B
AST,1957,0.8856427212036475,ITSN2
AST,1959,0.9529752933508636,NCOA1
AST,1962,0.7799847788185372,ADCY3
AST,1963,0.7126911804053118,DNAJC27
AST,1964,0.8849408500174303,DNAJC27-AS1
AST,1965,0.926809818138076,EFR3B
AST,1968,0.8873060653749606,DNMT3A
AST,1969,0.8705246236697686,DTNB
AST,1971,0.8775060742219731,ASXL2
AST,1973,0.9159717003714032,RAB10
AST,1974,0.7416843443860341,GAREM2
AST,1975,0.8240726895531368,HADHA
AST,1976,0.8697462918647897,HADHB
AST,1984,0.7956697790332022,MAPRE3
AST,2003,0.7662613477222715,MPV17
AST,2004,0.7394999329461814,GTF3C2
AST,2011,0.8767740874482624,IFT172
AST,2015,0.7254202757712068,ZNF512
AST,2021,0.7798823586531818,MRPL33
AST,2022,0.7079079817384999,RBKS
AST,2026,0.8488174487417058,PPP1CB
AST,2028,0.7378881197937753,TRMT61B
AST,2029,0.7200173903037893,WDR43
AST,2030,0.9130261090315457,CLIP4
AST,2031,0.8463215744562979,ALK
AST,2032,0.7983720529655741,AC016907.2
AST,2033,0.7017393253616646,YPEL5
AST,2035,0.8035936109024957,LCLAT1
AST,2043,0.7051287324389561,DPY30
AST,2044,0.8098653710369744,SPAST
AST,2045,0.7808807910811261,SLC30A6
AST,2047,0.8620069670251667,YIPF4
AST,2048,0.9250519251564633,BIRC6
AST,2049,0.7429992330937109,TTC27
AST,2050,0.8815316579684633,LINC00486
AST,2051,0.9154803830654048,LTBP1
AST,2056,0.8952014237488942,CRIM1
AST,2057,0.8306254977099492,FEZ2
AST,2059,0.8427865363110814,STRN
AST,2060,0.7717475351746038,HEATR5B
AST,2062,0.785506520910852,EIF2AK2
AST,2064,0.7936310564969165,CEBPZOS
AST,2067,0.7171137936499947,PRKD3
